,active_id,passive_id,active_reliability,passive_reliability,passive_opinion,accepted,result,total_payout
329,50,76,0.3115900095998313,0.018556183176972576,0.45,True,False,-328
330,25,76,0.21207487581486856,0.018556183176972576,0.45,True,False,-330
331,69,76,0.12228094017780754,0.018556183176972576,0.55,True,True,-328
332,84,86,0.17358421388349046,0.08977317136487191,0.45,True,False,-330
333,63,86,0.15584090052225436,0.08977317136487191,0.45,True,False,-332
334,12,86,0.04605435109965876,0.08977317136487191,0.45,True,False,-334
335,54,86,0.0499960665023691,0.08977317136487191,0.45,True,False,-336
336,52,86,0.035827860596384944,0.08977317136487191,0.45,True,False,-338
337,95,86,0.07403668965687367,0.08977317136487191,0.45,True,False,-340
338,34,86,0.10983458299388069,0.08977317136487191,0.45,True,False,-342
339,83,86,0.1364787996343571,0.08977317136487191,0.45,True,False,-344
340,83,86,0.1364787996343571,0.08977317136487191,0.45,False,0,-344
341,74,86,0.2465211816850676,0.08977317136487191,0.45,True,False,-346
342,31,86,0.0046912960998865,0.08977317136487191,0.45,True,False,-348
343,6,86,0.397418430055701,0.08977317136487191,0.55,True,True,-346
344,42,52,0.056370149726430105,0.035827860596384944,0.45,True,False,-348
345,8,52,0.05545878585874701,0.035827860596384944,0.45,True,False,-350
346,22,52,0.21529916340404484,0.035827860596384944,0.45,True,False,-352
347,94,52,0.21760921854345086,0.035827860596384944,0.55,True,True,-350
348,26,43,0.1915171500802981,0.2644433470212973,0.45,True,False,-352
349,83,43,0.1364787996343571,0.2644433470212973,0.55,True,True,-350
350,70,85,0.4639247092269356,0.20808647707310848,0.45,True,False,-352
351,6,85,0.397418430055701,0.20808647707310848,0.45,True,False,-354
352,78,85,0.17223136070860318,0.20808647707310848,0.45,True,False,-356
353,53,85,0.34532506630187976,0.20808647707310848,0.45,True,False,-358
354,22,85,0.21529916340404484,0.20808647707310848,0.45,True,False,-360
355,95,85,0.07403668965687367,0.20808647707310848,0.45,True,False,-362
356,82,85,0.2767440446436281,0.20808647707310848,0.45,True,False,-364
357,87,85,0.09825721243537704,0.20808647707310848,0.45,True,False,-366
358,73,85,0.10707656328555797,0.20808647707310848,0.45,True,False,-368
359,38,85,0.45291024758096854,0.20808647707310848,0.55,True,True,-366
360,63,83,0.15584090052225436,0.1364787996343571,0.45,True,False,-368
361,8,83,0.05545878585874701,0.1364787996343571,0.45,True,False,-370
362,39,83,0.5767489615566488,0.1364787996343571,0.55,True,True,-368
363,84,35,0.17358421388349046,0.24958375678392714,0.45,True,False,-370
364,67,35,0.4522640039290227,0.24958375678392714,0.55,True,True,-368
365,73,14,0.10707656328555797,0.07215779684031474,0.45,True,False,-370
366,6,14,0.397418430055701,0.07215779684031474,0.45,True,False,-372
367,68,14,0.054684748553290495,0.07215779684031474,0.45,True,False,-374
368,71,14,0.07117438210047435,0.07215779684031474,0.55,True,True,-372
369,75,39,0.08499138676759214,0.5767489615566488,0.45,True,False,-374
370,58,39,0.4118415880032315,0.5767489615566488,0.45,True,False,-376
371,32,39,0.29767462460489075,0.5767489615566488,0.45,True,False,-378
372,79,39,0.24978922769808326,0.5767489615566488,0.55,True,True,-376
373,59,45,0.43347669468567157,0.27137112135451447,0.55,True,True,-374
374,8,92,0.05545878585874701,0.33597361467621856,0.45,True,False,-376
375,5,92,0.380247665444812,0.33597361467621856,0.45,True,False,-378
376,61,92,0.1082631002709324,0.33597361467621856,0.45,True,False,-380
377,2,92,0.05693265806047355,0.33597361467621856,0.45,True,False,-382
378,50,92,0.3115900095998313,0.33597361467621856,0.49595,False,0,-382
379,64,92,0.1686088846057616,0.33597361467621856,0.4955,False,0,-382
380,6,92,0.397418430055701,0.33597361467621856,0.45,True,False,-384
381,74,92,0.2465211816850676,0.33597361467621856,0.45,True,False,-386
382,97,92,0.27930974640197764,0.33597361467621856,0.45,True,False,-388
383,0,92,0.5104380870682323,0.33597361467621856,0.45,True,False,-390
384,37,92,0.2729790163817136,0.33597361467621856,0.45,True,False,-392
385,30,92,0.011556293536446162,0.33597361467621856,0.45,True,False,-394
386,64,92,0.1686088846057616,0.33597361467621856,0.4955,False,0,-394
387,69,92,0.12228094017780754,0.33597361467621856,0.45,True,False,-396
388,41,92,0.13129517389033954,0.33597361467621856,0.45,True,False,-398
389,35,92,0.24958375678392714,0.33597361467621856,0.45,True,False,-400
390,52,92,0.035827860596384944,0.33597361467621856,0.45,True,False,-402
391,26,92,0.1915171500802981,0.33597361467621856,0.45,True,False,-404
392,59,92,0.43347669468567157,0.33597361467621856,0.45,True,False,-406
393,12,92,0.04605435109965876,0.33597361467621856,0.45,True,False,-408
394,58,92,0.4118415880032315,0.33597361467621856,0.55,True,True,-406
395,78,86,0.17223136070860318,0.08977317136487191,0.45,True,False,-408
396,69,86,0.12228094017780754,0.08977317136487191,0.45,True,False,-410
397,27,86,0.16320017200550951,0.08977317136487191,0.45,True,False,-412
398,1,86,0.26665350146056593,0.08977317136487191,0.55,True,True,-410
